Date,Close,Open,High,Low,Vol.,Change %
12/06/2024,19859.77,19743.96,19863.14,19734.42,1.23B,0.81%
12/05/2024,19700.72,19756.4,19790.03,19688.59,1.27B,-0.17%
12/04/2024,19735.12,19587.48,19741.76,19575.39,1.27B,1.30%
12/03/2024,19480.91,19364.34,19486.14,19340.41,1.13B,0.40%
12/02/2024,19403.95,19255.43,19436.92,19255.43,1.25B,0.97%
11/29/2024,19218.17,19087.47,19245.49,19066.52,797.08M,0.83%
11/27/2024,19060.48,19132.99,19133.11,18937.2,1.03B,-0.60%
11/26/2024,19175.58,19109.08,19184.4,19100.73,1.12B,0.63%
11/25/2024,19054.84,19140.59,19208.68,18969.35,1.91B,0.27%
11/22/2024,19003.65,18966.32,19025.77,18899.48,1.19B,0.16%
11/21/2024,18972.42,19072.78,19110.89,18714.06,1.26B,0.03%
11/20/2024,18966.14,18971.31,18974.91,18724.39,1.13B,-0.11%
11/19/2024,18987.47,18699.71,18992.08,18689.83,1.15B,1.04%
11/18/2024,18791.81,18717.93,18865.28,18672.3,1.24B,0.60%
11/15/2024,18680.12,18929.92,18936.75,18598.87,1.37B,-2.24%
11/14/2024,19107.65,19256.09,19275.8,19073.39,1.28B,-0.64%
11/13/2024,19230.72,19286.46,19358.48,19191.13,1.39B,-0.26%
11/12/2024,19281.4,19289.81,19343.05,19168.52,1.32B,-0.09%
11/11/2024,19298.76,19355.34,19366.07,19193.29,1.33B,0.06%
11/08/2024,19286.78,19255.14,19318.56,19224.43,1.31B,0.09%
11/07/2024,19269.46,19084.43,19301.7,19084.43,1.43B,1.51%
11/06/2024,18983.46,18772.76,19000.5,18730.21,1.64B,2.95%
11/05/2024,18439.17,18250.71,18449.68,18250.71,1.07B,1.43%
11/04/2024,18179.98,18220.43,18308.3,18112.83,1.04B,-0.33%
11/01/2024,18239.92,18189.67,18363.94,18181.53,1.05B,0.80%
10/31/2024,18095.15,18427.31,18427.31,18083.95,1.31B,-2.76%
10/30/2024,18607.93,18731.69,18785.49,18598.24,1.16B,-0.56%
10/29/2024,18712.75,18576.09,18753.19,18509.59,1.12B,0.78%
10/28/2024,18567.19,18648.25,18671.01,18563.02,1.03B,0.26%
10/25/2024,18518.61,18512.58,18690.01,18487.06,976.29M,0.56%
10/24/2024,18415.49,18384.15,18435.37,18305.42,977.77M,0.76%
10/23/2024,18276.65,18502.06,18509.19,18146.61,1.02B,-1.60%
10/22/2024,18573.13,18451.86,18620.71,18413.47,949.37M,0.18%
10/21/2024,18540.01,18456.48,18543.58,18377.62,1.01B,0.27%
10/18/2024,18489.55,18466.01,18524.33,18452.58,1.01B,0.63%
10/17/2024,18373.61,18537.21,18541.46,18368.79,1.03B,0.04%
10/16/2024,18367.08,18333.29,18383.11,18214.96,1.01B,0.28%
10/15/2024,18315.59,18515.97,18564.25,18252.52,1.15B,-1.01%
10/14/2024,18502.69,18426.66,18547.91,18423.6,901.62M,0.87%
10/11/2024,18342.94,18217.73,18375.53,18208.44,912.77M,0.33%
10/10/2024,18282.05,18200.62,18333.39,18154.18,957.62M,-0.05%
10/09/2024,18291.62,18179.22,18302.05,18133.02,898.50M,0.60%
10/08/2024,18182.92,18017.93,18203.04,17989.7,944.80M,1.45%
10/07/2024,17923.9,18080.12,18096.33,17900.04,1.01B,-1.18%
10/04/2024,18137.85,18130.42,18145.28,17952.3,950.41M,1.22%
10/03/2024,17918.48,17859.49,18011.25,17826.42,908.71M,-0.04%
10/02/2024,17925.12,17867.12,17978.57,17767.79,985.44M,0.08%
10/01/2024,17910.36,18154.94,18162.72,17779.77,1.11B,-1.53%
09/30/2024,18189.17,18069.83,18198.16,17997.56,1.20B,0.38%
09/27/2024,18119.59,18228.78,18238.28,18069.18,1.02B,-0.39%
09/26/2024,18190.29,18327.34,18327.34,18071.74,1.10B,0.60%
09/25/2024,18082.21,18050.36,18155.04,18040.62,958.50M,0.04%
09/24/2024,18074.52,18046.44,18091.96,17863.38,1.09B,0.56%
09/23/2024,17974.27,17994.9,18021.57,17936.37,1.05B,0.14%
09/20/2024,17948.32,17999.35,18024.34,17835.64,3.61B,-0.36%
09/19/2024,18013.98,17980.89,18099.93,17909.75,1.17B,2.51%
09/18/2024,17573.3,17663.38,17832.7,17556.43,1.09B,-0.31%
09/17/2024,17628.06,17707.02,17781.74,17544.64,940.89M,0.20%
09/16/2024,17592.13,17573.7,17618.4,17480.66,876.14M,-0.52%
09/13/2024,17683.98,17575.26,17719.14,17564.61,927.28M,0.65%
09/12/2024,17569.68,17413.89,17605.72,17338.32,952.15M,1.00%
09/11/2024,17395.53,17061.41,17420.23,16787.84,1.10B,2.17%
09/10/2024,17025.88,16949.64,17036.07,16801.13,936.37M,0.84%
09/09/2024,16884.6,16835.67,16923.28,16732.84,1.04B,1.16%
09/06/2024,16690.83,17137.62,17166.54,16668.57,1.08B,-2.55%
09/05/2024,17127.66,17063.24,17295.58,17035.07,933.23M,0.25%
09/04/2024,17084.3,17015.71,17232.65,16984.67,966.70M,-0.30%
09/03/2024,17136.3,17585.45,17585.45,17057.79,1.17B,-3.26%
08/30/2024,17713.62,17650.49,17720.38,17498.79,1.36B,1.13%
08/29/2024,17516.43,17610.57,17789.21,17482.6,974.88M,-0.23%
08/28/2024,17556.03,17738.8,17759.94,17439.4,949.55M,-1.12%
08/27/2024,17754.82,17655.52,17789.72,17573.37,799.40M,0.16%
08/26/2024,17725.77,17867.85,17909.09,17645.69,924.58M,-0.85%
08/23/2024,17877.79,17772.73,17941.27,17700.27,1.00B,1.47%
08/22/2024,17619.35,17993.72,18017.69,17589.15,938.95M,-1.67%
08/21/2024,17918.99,17840.51,17963.07,17790.98,892.18M,0.57%
08/20/2024,17816.94,17849.09,17932.53,17758.2,905.04M,-0.33%
08/19/2024,17876.77,17649.74,17877.44,17585.58,1.01B,1.39%
08/16/2024,17631.72,17516.4,17674.65,17502.82,989.75M,0.21%
08/15/2024,17594.5,17394.54,17602.72,17375.41,1.13B,2.34%
08/14/2024,17192.6,17227.64,17260.73,17032.17,948.92M,0.03%
08/13/2024,17187.61,16944.73,17192.79,16943.95,1.07B,2.43%
08/12/2024,16780.61,16793.64,16895.79,16699.39,4.10B,0.21%
08/09/2024,16745.3,16636.52,16789.22,16574.57,1.01B,0.51%
08/08/2024,16660.02,16408.27,16694.25,16262.93,1.17B,2.87%
08/07/2024,16195.81,16622.31,16709.81,16179.53,1.22B,-1.05%
08/06/2024,16366.86,16261.36,16620.31,16137.65,1.19B,1.03%
08/05/2024,16200.08,15712.53,16453.46,15708.54,1.53B,-3.43%
08/02/2024,16776.16,16780.45,16920.63,16582.79,1.34B,-2.43%
08/01/2024,17194.14,17647.03,17791.59,17051.42,1.32B,-2.30%
07/31/2024,17599.4,17499.23,17693.98,17438.6,1.34B,2.64%
07/30/2024,17147.42,17424.1,17468.56,17015.38,1.11B,-1.28%
07/29/2024,17370.2,17444.39,17535.32,17299.83,909.68M,0.07%
07/26/2024,17357.88,17331.95,17454.57,17239.99,972.96M,1.03%
07/25/2024,17181.72,17352.64,17544.46,17033.96,1.20B,-0.93%
07/24/2024,17342.41,17733.91,17747.06,17313.52,1.19B,-3.64%
07/23/2024,17997.35,17982.74,18128.38,17968.1,960.97M,-0.06%
07/22/2024,18007.57,17923.64,18040.99,17839.76,1.04B,1.58%
07/19/2024,17726.94,17835.59,17935.14,17691.43,1.12B,-0.81%
07/18/2024,17871.22,18119.15,18130.87,17759.54,1.13B,-0.70%
07/17/2024,17996.93,18188.19,18223.24,17972.87,1.26B,-2.77%
07/16/2024,18509.34,18534.27,18576.83,18386.07,1.12B,0.20%
07/15/2024,18472.57,18485.91,18641.53,18397.83,1.08B,0.40%
07/12/2024,18398.45,18303.64,18556.73,18293.6,1.10B,0.63%
07/11/2024,18283.41,18659.25,18671.07,18238.78,1.23B,-1.95%
07/10/2024,18647.45,18512.09,18655.19,18467.58,971.36M,1.18%
07/09/2024,18429.29,18465.02,18511.89,18381.6,914.80M,0.14%
07/08/2024,18403.74,18371.86,18416.94,18342.6,984.76M,0.28%
07/05/2024,18352.76,18200.6,18366.31,18197.13,963.80M,0.90%
07/03/2024,18188.3,18016.12,18188.3,18016.12,692.06M,0.88%
07/02/2024,18028.76,17808.04,18031.29,17802.24,932.12M,0.84%
07/01/2024,17879.3,17773.9,17894.28,17657.64,1.03B,0.83%
06/28/2024,17732.6,17891.1,18035,17723.83,3.78B,-0.71%
06/27/2024,17858.68,17793.95,17892.78,17765.42,1.05B,0.30%
06/26/2024,17805.16,17697.27,17813.55,17687.07,1.04B,0.49%
06/25/2024,17717.65,17572.16,17734.35,17546.63,1.08B,1.26%
06/24/2024,17496.82,17640.26,17730.12,17494.02,1.14B,-1.09%
06/21/2024,17689.36,17681.01,17787.34,17620.57,3.54B,-0.18%
06/20/2024,17721.59,17913.94,17936.79,17650.7,1.26B,-0.79%
06/18/2024,17862.23,17856.76,17890.52,17796.88,1.11B,0.03%
06/17/2024,17857.02,17697.3,17935.98,17636.36,1.04B,0.95%
06/14/2024,17688.88,17621.18,17693.43,17590.8,965.43M,0.12%
06/13/2024,17667.56,17715.27,17741.8,17566.32,981.98M,0.34%
06/12/2024,17608.44,17502.15,17725.39,17490.64,1.13B,1.53%
06/11/2024,17343.55,17160.42,17345.05,17107.99,941.87M,0.88%
06/10/2024,17192.53,17083.45,17213.45,17057.34,1.01B,0.35%
06/07/2024,17133.13,17124.13,17229.31,17090.04,897.39M,-0.23%
06/06/2024,17173.12,17204.87,17235.73,17123.59,940.92M,-0.09%
06/05/2024,17187.9,16974.48,17187.92,16955.56,1.01B,1.96%
06/04/2024,16857.05,16823.88,16891.87,16750.39,975.74M,0.17%
06/03/2024,16828.67,16865.7,16909.89,16646.43,1.06B,0.56%
05/31/2024,16735.02,16771.9,16789.27,16445.54,1.81B,-0.01%
05/30/2024,16737.08,16878.63,16900.46,16690.36,1.11B,-1.08%
05/29/2024,16920.58,16879.35,16989.6,16873.97,1.15B,-0.58%
05/28/2024,17019.88,16988.31,17032.65,16917.51,1.10B,0.59%
05/24/2024,16920.79,16786.79,16947.79,16771.58,953.61M,1.10%
05/23/2024,16736.03,16996.38,16996.38,16678.37,1.21B,-0.39%
05/22/2024,16801.54,16839.02,16855.27,16712.09,1.15B,-0.18%
05/21/2024,16832.62,16736.1,16839.02,16719.97,1.02B,0.22%
05/20/2024,16794.87,16702.02,16823.83,16695.69,1.12B,0.65%
05/17/2024,16685.97,16708.49,16726.41,16613.84,1.43B,-0.07%
05/16/2024,16698.32,16738.11,16797.83,16693.45,1.47B,-0.26%
05/15/2024,16742.39,16601.14,16749.74,16544.09,1.32B,1.40%
05/14/2024,16511.18,16391.16,16526.27,16386.44,1.24B,0.75%
05/13/2024,16388.24,16400.31,16407.05,16334.86,953.22M,0.29%
05/10/2024,16340.87,16389.02,16437.39,16293.52,940.76M,-0.03%
05/09/2024,16346.26,16323.74,16362.79,16241.98,945.46M,0.27%
05/08/2024,16302.76,16226.07,16341.65,16226.07,976.92M,-0.18%
05/07/2024,16332.55,16358.34,16397.39,16303.84,1.02B,-0.10%
05/06/2024,16349.25,16208.54,16350.08,16197.86,919.31M,1.19%
05/03/2024,16156.33,16147.48,16204.71,16068.34,1.03B,1.99%
05/02/2024,15840.96,15758.11,15862.79,15604.73,1.05B,1.51%
05/01/2024,15605.48,15646.09,15926.22,15557.64,1.12B,-0.33%
04/30/2024,15657.82,15920.89,15979.36,15655.67,1.15B,-2.04%
04/29/2024,15983.08,16007,16021.5,15885.89,953.16M,0.35%
04/26/2024,15927.9,15821.33,15981,15770.72,939.96M,2.03%
04/25/2024,15611.76,15375.26,15644.51,15343.91,990.23M,-0.64%
04/24/2024,15712.75,15805.6,15839,15634.44,955.27M,0.10%
04/23/2024,15696.64,15525.55,15730.35,15510.58,981.75M,1.59%
04/22/2024,15451.3,15396.13,15539,15265.66,930.20M,1.11%
04/19/2024,15282.01,15547.1,15576.7,15222.78,1.11B,-2.05%
04/18/2024,15601.5,15705.7,15786.12,15587.5,936.42M,-0.52%
04/17/2024,15683.37,15942.29,15957.03,15654.51,896.71M,-1.15%
04/16/2024,15865.25,15856.38,15965.79,15822.02,912.04M,-0.12%
04/15/2024,15885.02,16276.47,16295.27,15863.88,980.76M,-1.79%
04/12/2024,16175.09,16293.03,16341.46,16125.33,906.05M,-1.62%
04/11/2024,16442.2,16236.2,16464.6,16154.65,888.86M,1.68%
04/10/2024,16170.36,16104.01,16200.1,16092.02,992.41M,-0.84%
04/09/2024,16306.64,16328.76,16348.18,16141.15,888.26M,0.32%
04/08/2024,16253.96,16285.18,16323.6,16220.72,852.61M,0.03%
04/05/2024,16248.52,16095.4,16326.5,16080.49,903.32M,1.24%
04/04/2024,16049.08,16418.57,16468.04,16046.56,1.07B,-1.40%
04/03/2024,16277.46,16178.79,16340.74,16169.31,1.01B,0.23%
04/02/2024,16240.45,16199.24,16251.41,16137.24,1.03B,-0.95%
04/01/2024,16396.83,16397.05,16490.65,16327.89,930.02M,0.11%
03/28/2024,16379.46,16377.23,16420.92,16347.38,1.22B,-0.12%
03/27/2024,16399.52,16424.76,16431.82,16279.17,986.80M,0.51%
03/26/2024,16315.7,16446.85,16476.38,16312.95,1.00B,-0.42%
03/25/2024,16384.47,16335.3,16441.17,16315.72,896.53M,-0.27%
03/22/2024,16428.82,16387.83,16467.62,16361,880.01M,0.16%
03/21/2024,16401.84,16517.24,16538.86,16393.9,1.06B,0.20%
03/20/2024,16369.41,16185.76,16377.44,16127.48,1.03B,1.25%
03/19/2024,16166.79,16031.93,16175.59,15951.86,1.04B,0.39%
03/18/2024,16103.45,16154.92,16247.59,16094.17,1.04B,0.82%
03/15/2024,15973.17,16043.58,16055.33,15925.91,3.07B,-0.96%
03/14/2024,16128.53,16209.19,16245.32,16039.68,1.18B,-0.30%
03/13/2024,16177.77,16220.11,16233.29,16143.34,1.09B,-0.54%
03/12/2024,16265.64,16116.98,16275.45,15992.98,1.02B,1.54%
03/11/2024,16019.27,16052.63,16085.95,15978.04,970.77M,-0.41%
03/08/2024,16085.11,16322.1,16449.7,16059.5,1.09B,-1.16%
03/07/2024,16273.38,16147.32,16309.02,16096.01,1.03B,1.51%
03/06/2024,16031.54,16092,16128.56,15956.66,1.11B,0.58%
03/05/2024,15939.59,16077.74,16087.57,15862.63,1.16B,-1.65%
03/04/2024,16207.51,16264.21,16289.06,16199.06,1.17B,-0.41%
03/01/2024,16274.94,16109.83,16302.24,16096.6,1.10B,1.14%
02/29/2024,16091.92,16059.34,16115.96,15931.7,1.65B,0.90%
02/28/2024,15947.74,15969.14,16003.56,15924.72,1.10B,-0.55%
02/27/2024,16035.3,16013.98,16046.1,15940.51,1.10B,0.37%
02/26/2024,15976.25,16014.45,16054.9,15973.9,1.06B,-0.13%
02/23/2024,15996.82,16094.8,16134.22,15954.5,1.00B,-0.28%
02/22/2024,16041.62,15904.48,16061.82,15869.24,1.14B,2.96%
02/21/2024,15580.87,15532.12,15583.68,15451.65,984.02M,-0.32%
02/20/2024,15630.78,15679.84,15730.47,15508.5,1.10B,-0.92%
02/16/2024,15775.65,15910.43,15917.41,15752.02,1.12B,-0.82%
02/15/2024,15906.17,15865.3,15911.22,15779.71,1.22B,0.30%
02/14/2024,15859.15,15781.71,15865.51,15683.94,1.08B,1.30%
02/13/2024,15655.6,15598.88,15770.42,15551.44,1.21B,-1.80%
02/12/2024,15942.54,15980.62,16080.07,15917.87,1.09B,-0.30%
02/09/2024,15990.66,15842.38,16007.29,15831.76,1.08B,1.25%
02/08/2024,15793.71,15762.23,15813.27,15739.18,1.02B,0.24%
02/07/2024,15756.64,15690.35,15770.67,15645.8,943.13M,0.95%
02/06/2024,15609,15638.19,15652.75,15515.25,931.55M,0.07%
02/05/2024,15597.68,15613.99,15637.88,15471.68,923.28M,-0.20%
02/02/2024,15628.95,15403.16,15664.21,15366.78,956.87M,1.74%
02/01/2024,15361.64,15254.02,15372.13,15208.88,1.01B,1.30%
01/31/2024,15164.01,15324.19,15405.55,15158.49,1.29B,-2.23%
01/30/2024,15509.9,15604.08,15619.23,15484.67,915.72M,-0.76%
01/29/2024,15628.04,15470.66,15630.58,15449.87,959.39M,1.12%
01/26/2024,15455.36,15474.85,15538.84,15433.04,857.50M,-0.36%
01/25/2024,15510.5,15555.62,15597.25,15430.68,998.98M,0.18%
01/24/2024,15481.92,15560.61,15629.07,15468.91,932.89M,0.36%
01/23/2024,15425.94,15391.41,15432.35,15337.23,959.54M,0.43%
01/22/2024,15360.29,15393.05,15438.85,15333.63,1.04B,0.32%
01/19/2024,15310.97,15122.38,15310.97,15087.2,1.14B,1.70%
01/18/2024,15055.65,14994.52,15066.81,14911.11,1.04B,1.35%
01/17/2024,14855.62,14814.77,14865.76,14706.23,944.50M,-0.59%
01/16/2024,14944.35,14908.26,15004.35,14863.81,1.10B,-0.19%
01/12/2024,14972.76,15001.01,15047.25,14931.88,865.51M,0.02%
01/11/2024,14970.18,15020.95,15063.61,14800.38,1.00B,0.00%
01/10/2024,14969.65,14877.7,14998.2,14842.7,904.43M,0.75%
01/09/2024,14857.71,14744.13,14894.32,14716.71,959.65M,0.09%
01/08/2024,14843.77,14564.47,14846.9,14560.2,1.14B,2.20%
01/05/2024,14524.07,14500.11,14625.19,14477.57,1.01B,0.09%
01/04/2024,14510.3,14532.23,14632.77,14504.78,1.04B,-0.56%
01/03/2024,14592.21,14641.47,14694.58,14577.44,1.06B,-1.18%
01/02/2024,14765.94,14873.7,14887.8,14682.38,1.08B,-1.63%
12/29/2023,15011.35,15099.2,15111.41,14955.37,1.04B,-0.56%
12/28/2023,15095.14,15142.09,15150.07,15087.22,907.14M,-0.03%
12/27/2023,15099.18,15089.66,15114.08,15051.67,1.07B,0.16%
12/26/2023,15074.57,15028.69,15101.18,15024.06,871.34M,0.54%
12/22/2023,14992.97,15006.18,15047.19,14927.12,880.44M,0.19%
12/21/2023,14963.87,14923.14,14970.81,14837.47,945.08M,1.26%
12/20/2023,14777.94,14973.36,15069.29,14776.29,1.20B,-1.50%
12/19/2023,15003.22,14923.02,15003.8,14921.6,1.13B,0.66%
12/18/2023,14905.19,14814.02,14938.04,14811.82,1.15B,0.62%
12/15/2023,14813.92,14797.46,14848.41,14753.16,3.35B,0.35%
12/14/2023,14761.56,14798.72,14855.62,14642.23,1.58B,0.19%
